r,t,m,y,TotalAnnualTechnologyActivityByMode
"Atlantis_00A","BM_RES",1,2052,3.04
"Atlantis_00A","BM_RES",1,2053,3.02
"Atlantis_00A","BM_RES",1,2054,3
"Atlantis_00A","BM_RES",1,2055,2.98
"Atlantis_00A","BM_SC",1,2014,2.057724
"Atlantis_00A","BM_SC",1,2015,2.057724
"Atlantis_00A","BM_SC",1,2016,2.057724
"Atlantis_00A","BM_SC",1,2017,2.057724
"Atlantis_00A","BM_SC",1,2018,2.057724
"Atlantis_00A","BM_SC",1,2019,2.057724
"Atlantis_00A","BM_SC",1,2020,2.057724
"Atlantis_00A","BM_SC",1,2021,2.057724
"Atlantis_00A","BM_SC",1,2022,2.057724
"Atlantis_00A","BM_SC",1,2023,1.751809032
"Atlantis_00A","BM_SC",1,2024,1.751809032
"Atlantis_00A","BM_SC",1,2025,1.751809032
"Atlantis_00A","BM_SC",1,2026,1.751809032
"Atlantis_00A","BM_SC",1,2027,1.751809032
"Atlantis_00A","BM_SC",1,2028,1.463727672
"Atlantis_00A","BM_SC",1,2029,1.463727672
"Atlantis_00A","BM_SC",1,2030,1.463727672
"Atlantis_00A","BM_SC",1,2031,1.463727672
"Atlantis_00A","BM_SC",1,2032,1.463727672
"Atlantis_00A","BM_SC",1,2033,0.92534508
"Atlantis_00A","BM_SC",1,2034,0.92534508
"Atlantis_00A","BM_SC",1,2035,0.92534508
"Atlantis_00A","BM_SC",1,2036,0
"Atlantis_00A","BM_SC",1,2037,0
"Atlantis_00A","BM_SC",1,2038,0
"Atlantis_00A","BM_SC",1,2039,0
"Atlantis_00A","BM_SC",1,2040,0
"Atlantis_00A","BM_SC",1,2041,0
"Atlantis_00A","BM_SC",1,2042,0
"Atlantis_00A","BM_SC",1,2043,0
"Atlantis_00A","BM_SC",1,2044,0
"Atlantis_00A","BM_SC",1,2045,0
"Atlantis_00A","BM_SC",1,2046,0
"Atlantis_00A","BM_SC",1,2047,0
"Atlantis_00A","BM_SC",1,2048,0
"Atlantis_00A","BM_SC",1,2049,0
"Atlantis_00A","BM_SC",1,2050,0
"Atlantis_00A","BM_SC",1,2051,0
"Atlantis_00A","BM_SC",1,2052,0
"Atlantis_00A","BM_SC",1,2053,0
"Atlantis_00A","BM_SC",1,2054,0
"Atlantis_00A","BM_SC",1,2055,0
"Atlantis_00A","CONS_BM",1,2014,31.48
"Atlantis_00A","CONS_BM",1,2015,29.5
"Atlantis_00A","CONS_BM",1,2016,31.41
"Atlantis_00A","CONS_BM",1,2017,33.4
"Atlantis_00A","CONS_BM",1,2018,33.13
"Atlantis_00A","CONS_BM",1,2019,27.7
"Atlantis_00A","CONS_BM",1,2020,31.14
"Atlantis_00A","CONS_BM",1,2021,23.44
"Atlantis_00A","CONS_BM",1,2022,24.41
"Atlantis_00A","CONS_BM",1,2023,24.69
"Atlantis_00A","CONS_BM",1,2024,24.99
"Atlantis_00A","CONS_BM",1,2025,25.28
"Atlantis_00A","CONS_BM",1,2026,25.57
"Atlantis_00A","CONS_BM",1,2027,25.87
"Atlantis_00A","CONS_BM",1,2028,26.18
"Atlantis_00A","CONS_BM",1,2029,26.49
"Atlantis_00A","CONS_BM",1,2030,26.7
"Atlantis_00A","CONS_BM",1,2031,26.7
"Atlantis_00A","CONS_BM",1,2032,26.71
"Atlantis_00A","CONS_BM",1,2033,26.71
"Atlantis_00A","CONS_BM",1,2034,26.71
"Atlantis_00A","CONS_BM",1,2035,26.72
"Atlantis_00A","CONS_BM",1,2036,27.19
"Atlantis_00A","CONS_BM",1,2037,27.66
"Atlantis_00A","CONS_BM",1,2038,28.15
"Atlantis_00A","CONS_BM",1,2039,28.65
"Atlantis_00A","CONS_BM",1,2040,29.08
"Atlantis_00A","CONS_BM",1,2041,29.25
"Atlantis_00A","CONS_BM",1,2042,29.43
"Atlantis_00A","CONS_BM",1,2043,29.6
"Atlantis_00A","CONS_BM",1,2044,29.78
"Atlantis_00A","CONS_BM",1,2045,29.96
"Atlantis_00A","CONS_BM",1,2046,30.14
"Atlantis_00A","CONS_BM",1,2047,30.32
"Atlantis_00A","CONS_BM",1,2048,30.52
"Atlantis_00A","CONS_BM",1,2049,30.71
"Atlantis_00A","CONS_BM",1,2050,30.82
"Atlantis_00A","CONS_BM",1,2051,31.01
"Atlantis_00A","CONS_BM",1,2052,31.2
"Atlantis_00A","CONS_BM",1,2053,31.4
"Atlantis_00A","CONS_BM",1,2054,31.59
"Atlantis_00A","CONS_BM",1,2055,31.79
"Atlantis_00A","CONS_DS",1,2014,59.9
"Atlantis_00A","CONS_DS",1,2015,60.73
"Atlantis_00A","CONS_DS",1,2016,62.12
"Atlantis_00A","CONS_DS",1,2017,67.72
"Atlantis_00A","CONS_DS",1,2018,69.55
"Atlantis_00A","CONS_DS",1,2019,69.54
"Atlantis_00A","CONS_DS",1,2020,60.58
"Atlantis_00A","CONS_DS",1,2021,71.82
"Atlantis_00A","CONS_DS",1,2022,74.86
"Atlantis_00A","CONS_DS",1,2023,77.94
"Atlantis_00A","CONS_DS",1,2024,81.33
"Atlantis_00A","CONS_DS",1,2025,85.14
"Atlantis_00A","CONS_DS",1,2026,89.26
"Atlantis_00A","CONS_DS",1,2027,92.61
"Atlantis_00A","CONS_DS",1,2028,93.1299999999999
"Atlantis_00A","CONS_DS",1,2029,95.74
"Atlantis_00A","CONS_DS",1,2030,98.14
"Atlantis_00A","CONS_DS",1,2031,100.07
"Atlantis_00A","CONS_DS",1,2032,102.3
"Atlantis_00A","CONS_DS",1,2033,104.62
"Atlantis_00A","CONS_DS",1,2034,107.17
"Atlantis_00A","CONS_DS",1,2035,110.09
"Atlantis_00A","CONS_DS",1,2036,112.86
"Atlantis_00A","CONS_DS",1,2037,115.63
"Atlantis_00A","CONS_DS",1,2038,118.68
"Atlantis_00A","CONS_DS",1,2039,121.78
"Atlantis_00A","CONS_DS",1,2040,124.87
"Atlantis_00A","CONS_DS",1,2041,126.72
"Atlantis_00A","CONS_DS",1,2042,129.12
"Atlantis_00A","CONS_DS",1,2043,131.5
"Atlantis_00A","CONS_DS",1,2044,133.87
"Atlantis_00A","CONS_DS",1,2045,136.26
"Atlantis_00A","CONS_DS",1,2046,138.75
"Atlantis_00A","CONS_DS",1,2047,141.39
"Atlantis_00A","CONS_DS",1,2048,144.19
"Atlantis_00A","CONS_DS",1,2049,146.83
"Atlantis_00A","CONS_DS",1,2050,149.48
"Atlantis_00A","CONS_DS",1,2051,152.02
"Atlantis_00A","CONS_DS",1,2052,154.49
"Atlantis_00A","CONS_DS",1,2053,156.9
"Atlantis_00A","CONS_DS",1,2054,159.24
"Atlantis_00A","CONS_DS",1,2055,161.5
"Atlantis_00A","CONS_HF",1,2014,132.35
"Atlantis_00A","CONS_HF",1,2015,137.22
"Atlantis_00A","CONS_HF",1,2016,143.31
"Atlantis_00A","CONS_HF",1,2017,151.16
"Atlantis_00A","CONS_HF",1,2018,155.86
"Atlantis_00A","CONS_HF",1,2019,158.99
"Atlantis_00A","CONS_HF",1,2020,132.31
"Atlantis_00A","CONS_HF",1,2021,163.81
"Atlantis_00A","CONS_HF",1,2022,176.39
"Atlantis_00A","CONS_HF",1,2023,178.15
"Atlantis_00A","CONS_HF",1,2024,179.92
"Atlantis_00A","CONS_HF",1,2025,181.74
"Atlantis_00A","CONS_HF",1,2026,183.58
"Atlantis_00A","CONS_HF",1,2027,185.46
"Atlantis_00A","CONS_HF",1,2028,187.37
"Atlantis_00A","CONS_HF",1,2029,189.32
"Atlantis_00A","CONS_HF",1,2030,190.43
"Atlantis_00A","CONS_HF",1,2031,192.88
"Atlantis_00A","CONS_HF",1,2032,195.39
"Atlantis_00A","CONS_HF",1,2033,197.94
"Atlantis_00A","CONS_HF",1,2034,200.54
"Atlantis_00A","CONS_HF",1,2035,202.71
"Atlantis_00A","CONS_HF",1,2036,204.52
"Atlantis_00A","CONS_HF",1,2037,206.37
"Atlantis_00A","CONS_HF",1,2038,208.23
"Atlantis_00A","CONS_HF",1,2039,210.13
"Atlantis_00A","CONS_HF",1,2040,211.8
"Atlantis_00A","CONS_HF",1,2041,212.4
"Atlantis_00A","CONS_HF",1,2042,213.02
"Atlantis_00A","CONS_HF",1,2043,213.62
"Atlantis_00A","CONS_HF",1,2044,214.25
"Atlantis_00A","CONS_HF",1,2045,214.87
"Atlantis_00A","CONS_HF",1,2046,215.48
"Atlantis_00A","CONS_HF",1,2047,216.1
"Atlantis_00A","CONS_HF",1,2048,216.73
"Atlantis_00A","CONS_HF",1,2049,217.36
"Atlantis_00A","CONS_HF",1,2050,217.86
"Atlantis_00A","CONS_HF",1,2051,218.49
"Atlantis_00A","CONS_HF",1,2052,219.13
"Atlantis_00A","CONS_HF",1,2053,219.77
"Atlantis_00A","CONS_HF",1,2054,220.42
"Atlantis_00A","CONS_HF",1,2055,221.07
"Atlantis_00A","CONS_NG",1,2014,61.05
"Atlantis_00A","CONS_NG",1,2015,62.4
"Atlantis_00A","CONS_NG",1,2016,63.97
"Atlantis_00A","CONS_NG",1,2017,64.97
"Atlantis_00A","CONS_NG",1,2018,66.72
"Atlantis_00A","CONS_NG",1,2019,67.1400000000001
"Atlantis_00A","CONS_NG",1,2020,54.71
"Atlantis_00A","CONS_NG",1,2021,65.31
"Atlantis_00A","CONS_NG",1,2022,69.35
"Atlantis_00A","CONS_NG",1,2023,70.78
"Atlantis_00A","CONS_NG",1,2024,72.25
"Atlantis_00A","CONS_NG",1,2025,73.74
"Atlantis_00A","CONS_NG",1,2026,75.25
"Atlantis_00A","CONS_NG",1,2027,76.8
"Atlantis_00A","CONS_NG",1,2028,78.4
"Atlantis_00A","CONS_NG",1,2029,80.01
"Atlantis_00A","CONS_NG",1,2030,80.81
