r,t,y,AnnualVariableOperatingCost
"Atlantis_00A","BM_SC",2015,0.0002057724
"Atlantis_00A","BM_SC",2016,0.0002057724
"Atlantis_00A","BM_SC",2017,0.0002057724
"Atlantis_00A","BM_SC",2018,0.0002057724
"Atlantis_00A","BM_SC",2019,0.0002057724
"Atlantis_00A","BM_SC",2020,0.0002057724
"Atlantis_00A","BM_SC",2021,0.0002057724
"Atlantis_00A","BM_SC",2022,0.0002057724
"Atlantis_00A","BM_SC",2023,0.0001751809032
"Atlantis_00A","BM_SC",2024,0.0001751809032
"Atlantis_00A","BM_SC",2025,0.0001751809032
"Atlantis_00A","BM_SC",2026,0.0001751809032
"Atlantis_00A","BM_SC",2027,0.0001751809032
"Atlantis_00A","BM_SC",2028,0.0001463727672
"Atlantis_00A","BM_SC",2029,0.0001463727672
"Atlantis_00A","BM_SC",2030,0.0001463727672
"Atlantis_00A","BM_SC",2031,0.0001463727672
"Atlantis_00A","BM_SC",2032,0.0001463727672
"Atlantis_00A","BM_SC",2033,9.2534508e-05
"Atlantis_00A","BM_SC",2034,9.2534508e-05
"Atlantis_00A","BM_SC",2035,9.2534508e-05
"Atlantis_00A","BM_SC",2036,0
"Atlantis_00A","BM_SC",2037,0
"Atlantis_00A","BM_SC",2038,0
"Atlantis_00A","BM_SC",2039,0
"Atlantis_00A","BM_SC",2040,0
"Atlantis_00A","BM_SC",2041,0
"Atlantis_00A","BM_SC",2042,0
"Atlantis_00A","BM_SC",2043,0
"Atlantis_00A","BM_SC",2044,0
"Atlantis_00A","BM_SC",2045,0
"Atlantis_00A","BM_SC",2046,0
"Atlantis_00A","BM_SC",2047,0
"Atlantis_00A","BM_SC",2048,0
"Atlantis_00A","BM_SC",2049,0
"Atlantis_00A","BM_SC",2050,0
"Atlantis_00A","BM_SC",2051,0
"Atlantis_00A","BM_SC",2052,0
"Atlantis_00A","BM_SC",2053,0
"Atlantis_00A","BM_SC",2054,0
"Atlantis_00A","BM_SC",2055,0
"Atlantis_00A","CONS_BM",2014,0.003148
"Atlantis_00A","CONS_BM",2015,0.00295
"Atlantis_00A","CONS_BM",2016,0.003141
"Atlantis_00A","CONS_BM",2017,0.00334
"Atlantis_00A","CONS_BM",2018,0.003313
"Atlantis_00A","CONS_BM",2019,0.00277
"Atlantis_00A","CONS_BM",2020,0.003114
"Atlantis_00A","CONS_BM",2021,0.002344
"Atlantis_00A","CONS_BM",2022,0.002441
"Atlantis_00A","CONS_BM",2023,0.002469
"Atlantis_00A","CONS_BM",2024,0.002499
"Atlantis_00A","CONS_BM",2025,0.002528
"Atlantis_00A","CONS_BM",2026,0.002557
"Atlantis_00A","CONS_BM",2027,0.002587
"Atlantis_00A","CONS_BM",2028,0.002618
"Atlantis_00A","CONS_BM",2029,0.002649
