r,t,y,AnnualVariableOperatingCost
"Atlantis_00A","BM_IND",2047,0.003951
"Atlantis_00A","BM_IND",2048,0.004029
"Atlantis_00A","BM_IND",2049,0.004107
"Atlantis_00A","BM_IND",2050,0.004185
"Atlantis_00A","BM_IND",2051,0.004264
"Atlantis_00A","BM_IND",2052,0.004342
"Atlantis_00A","BM_IND",2053,0.00442
"Atlantis_00A","BM_IND",2054,0.004498
"Atlantis_00A","BM_IND",2055,0.004576
"Atlantis_00A","BM_RES",2014,0.000583
"Atlantis_00A","BM_RES",2015,0.000475
"Atlantis_00A","BM_RES",2016,0.000477
"Atlantis_00A","BM_RES",2017,0.000448
"Atlantis_00A","BM_RES",2018,0.000453
"Atlantis_00A","BM_RES",2019,0.000319
"Atlantis_00A","BM_RES",2020,0.000392
"Atlantis_00A","BM_RES",2021,0.000282
"Atlantis_00A","BM_RES",2022,0.000275
"Atlantis_00A","BM_RES",2023,0.00028
"Atlantis_00A","BM_RES",2024,0.000286
"Atlantis_00A","BM_RES",2025,0.000292
"Atlantis_00A","BM_RES",2026,0.000282
"Atlantis_00A","BM_RES",2027,0.000272
"Atlantis_00A","BM_RES",2028,0.000262
"Atlantis_00A","BM_RES",2029,0.000253
"Atlantis_00A","BM_RES",2030,0.000243
"Atlantis_00A","BM_RES",2031,0.000234
"Atlantis_00A","BM_RES",2032,0.000224
"Atlantis_00A","BM_RES",2033,0.000214
"Atlantis_00A","BM_RES",2034,0.000204
"Atlantis_00A","BM_RES",2035,0.000194
"Atlantis_00A","BM_RES",2036,0.000185
"Atlantis_00A","BM_RES",2037,0.000175
"Atlantis_00A","BM_RES",2038,0.000166
"Atlantis_00A","BM_RES",2039,0.000156
"Atlantis_00A","BM_RES",2040,0.000146
"Atlantis_00A","BM_RES",2041,0.000136
"Atlantis_00A","BM_RES",2042,0.000126
"Atlantis_00A","BM_RES",2043,0.000117
"Atlantis_00A","BM_RES",2044,0.000107
"Atlantis_00A","BM_RES",2045,9.8e-05
"Atlantis_00A","BM_RES",2046,8.7e-05
"Atlantis_00A","BM_RES",2047,7.8e-05
"Atlantis_00A","BM_RES",2048,6.8e-05
"Atlantis_00A","BM_RES",2049,5.8e-05
"Atlantis_00A","BM_RES",2050,4.9e-05
"Atlantis_00A","BM_RES",2051,3.9e-05
"Atlantis_00A","BM_RES",2052,2.9e-05
"Atlantis_00A","BM_RES",2053,1.9e-05
"Atlantis_00A","BM_RES",2054,1e-05
"Atlantis_00A","BM_RES",2055,0
"Atlantis_00A","BM_SC",2014,0.0002057724
"Atlantis_00A","BM_SC",2015,0.0002057724
"Atlantis_00A","BM_SC",2016,0.0002057724
"Atlantis_00A","BM_SC",2017,0.0002057724
"Atlantis_00A","BM_SC",2018,0.0002057724
"Atlantis_00A","BM_SC",2019,0.0002057724
"Atlantis_00A","BM_SC",2020,0.0002057724
"Atlantis_00A","BM_SC",2021,0.0002057724
"Atlantis_00A","BM_SC",2022,0.0002057724
"Atlantis_00A","BM_SC",2023,0.0001751809032
"Atlantis_00A","BM_SC",2024,0.0001751809032
"Atlantis_00A","BM_SC",2025,0.0001751809032
"Atlantis_00A","BM_SC",2026,0.0001751809032
"Atlantis_00A","BM_SC",2027,0.0001751809032
"Atlantis_00A","BM_SC",2028,0.0001463727672
"Atlantis_00A","BM_SC",2029,0.0001463727672
"Atlantis_00A","BM_SC",2030,0.0001463727672
"Atlantis_00A","BM_SC",2031,0.0001463727672
"Atlantis_00A","BM_SC",2032,0.0001463727672
"Atlantis_00A","BM_SC",2033,0.0001463727672
"Atlantis_00A","BM_SC",2034,0.0001463727672
"Atlantis_00A","BM_SC",2035,0.0001463727672
"Atlantis_00A","BM_SC",2036,0
"Atlantis_00A","BM_SC",2037,0
"Atlantis_00A","BM_SC",2038,0
"Atlantis_00A","BM_SC",2039,0
"Atlantis_00A","BM_SC",2040,0
"Atlantis_00A","BM_SC",2041,0
"Atlantis_00A","BM_SC",2042,0
"Atlantis_00A","BM_SC",2043,0
"Atlantis_00A","BM_SC",2044,0
"Atlantis_00A","BM_SC",2045,0
"Atlantis_00A","BM_SC",2046,0
"Atlantis_00A","BM_SC",2047,0
"Atlantis_00A","BM_SC",2048,0
"Atlantis_00A","BM_SC",2049,0
"Atlantis_00A","BM_SC",2050,0
"Atlantis_00A","BM_SC",2051,0
"Atlantis_00A","BM_SC",2052,0
"Atlantis_00A","BM_SC",2053,0
"Atlantis_00A","BM_SC",2054,0
"Atlantis_00A","BM_SC",2055,0
"Atlantis_00A","CONS_BM",2014,0.003148
"Atlantis_00A","CONS_BM",2015,0.00295
"Atlantis_00A","CONS_BM",2016,0.003141
"Atlantis_00A","CONS_BM",2017,0.00334
"Atlantis_00A","CONS_BM",2018,0.003313
"Atlantis_00A","CONS_BM",2019,0.00277
"Atlantis_00A","CONS_BM",2020,0.003114
"Atlantis_00A","CONS_BM",2021,0.002344
"Atlantis_00A","CONS_BM",2022,0.002441
"Atlantis_00A","CONS_BM",2023,0.002469
"Atlantis_00A","CONS_BM",2024,0.002499
"Atlantis_00A","CONS_BM",2025,0.002528
"Atlantis_00A","CONS_BM",2026,0.002596
"Atlantis_00A","CONS_BM",2027,0.002664
"Atlantis_00A","CONS_BM",2028,0.002732
"Atlantis_00A","CONS_BM",2029,0.002801
"Atlantis_00A","CONS_BM",2030,0.002869
"Atlantis_00A","CONS_BM",2031,0.002938
"Atlantis_00A","CONS_BM",2032,0.003006
"Atlantis_00A","CONS_BM",2033,0.003074
"Atlantis_00A","CONS_BM",2034,0.003142
"Atlantis_00A","CONS_BM",2035,0.00321
"Atlantis_00A","CONS_BM",2036,0.003279
"Atlantis_00A","CONS_BM",2037,0.003347
"Atlantis_00A","CONS_BM",2038,0.00341600000000001
"Atlantis_00A","CONS_BM",2039,0.003483
"Atlantis_00A","CONS_BM",2040,0.003551
"Atlantis_00A","CONS_BM",2041,0.003619
"Atlantis_00A","CONS_BM",2042,0.003687
"Atlantis_00A","CONS_BM",2043,0.003756
"Atlantis_00A","CONS_BM",2044,0.003824
"Atlantis_00A","CONS_BM",2045,0.003893
"Atlantis_00A","CONS_BM",2046,0.00396
"Atlantis_00A","CONS_BM",2047,0.004029
"Atlantis_00A","CONS_BM",2048,0.004097
"Atlantis_00A","CONS_BM",2049,0.004165
"Atlantis_00A","CONS_BM",2050,0.004234
"Atlantis_00A","CONS_BM",2051,0.004303
"Atlantis_00A","CONS_BM",2052,0.004371
"Atlantis_00A","CONS_BM",2053,0.004439
"Atlantis_00A","CONS_BM",2054,0.004508
"Atlantis_00A","CONS_BM",2055,0.004576
"Atlantis_00A","CONS_DS",2014,958.4
"Atlantis_00A","CONS_DS",2015,971.68
"Atlantis_00A","CONS_DS",2016,993.92
"Atlantis_00A","CONS_DS",2017,1083.52
"Atlantis_00A","CONS_DS",2018,1112.8
"Atlantis_00A","CONS_DS",2019,1112.64
"Atlantis_00A","CONS_DS",2020,969.28
"Atlantis_00A","CONS_DS",2021,1149.12
"Atlantis_00A","CONS_DS",2022,1197.76
"Atlantis_00A","CONS_DS",2023,1247.04
"Atlantis_00A","CONS_DS",2024,1301.28
"Atlantis_00A","CONS_DS",2025,1362.24
"Atlantis_00A","CONS_DS",2026,1307.68
"Atlantis_00A","CONS_DS",2027,1253.28
"Atlantis_00A","CONS_DS",2028,1198.72
"Atlantis_00A","CONS_DS",2029,1144.16
"Atlantis_00A","CONS_DS",2030,1089.76
