r,t,y,CapitalInvestment
"Atlantis_00A","BM_RES",2053,1.9e-05
"Atlantis_00A","BM_RES",2054,9.9999999999995e-06
"Atlantis_00A","BM_RES",2055,0
"Atlantis_00A","BM_SC",2014,0
"Atlantis_00A","BM_SC",2015,0
"Atlantis_00A","BM_SC",2016,0
"Atlantis_00A","BM_SC",2017,0
"Atlantis_00A","BM_SC",2018,0
"Atlantis_00A","BM_SC",2019,0
"Atlantis_00A","BM_SC",2020,0
"Atlantis_00A","BM_SC",2021,0
"Atlantis_00A","BM_SC",2022,0
"Atlantis_00A","BM_SC",2023,0
"Atlantis_00A","BM_SC",2024,0
"Atlantis_00A","BM_SC",2025,0
"Atlantis_00A","BM_SC",2026,0
"Atlantis_00A","BM_SC",2027,0
"Atlantis_00A","BM_SC",2028,0
"Atlantis_00A","BM_SC",2029,0
"Atlantis_00A","BM_SC",2030,0
"Atlantis_00A","BM_SC",2031,0
"Atlantis_00A","BM_SC",2032,0
"Atlantis_00A","BM_SC",2033,0
"Atlantis_00A","BM_SC",2034,0
"Atlantis_00A","BM_SC",2035,0
"Atlantis_00A","BM_SC",2036,0
"Atlantis_00A","BM_SC",2037,0
"Atlantis_00A","BM_SC",2038,0
"Atlantis_00A","BM_SC",2039,0
"Atlantis_00A","BM_SC",2040,0
"Atlantis_00A","BM_SC",2041,0
"Atlantis_00A","BM_SC",2042,0
"Atlantis_00A","BM_SC",2043,0
"Atlantis_00A","BM_SC",2044,0
"Atlantis_00A","BM_SC",2045,0
"Atlantis_00A","BM_SC",2046,0
"Atlantis_00A","BM_SC",2047,0
"Atlantis_00A","BM_SC",2048,0
"Atlantis_00A","BM_SC",2049,0
"Atlantis_00A","BM_SC",2050,0
"Atlantis_00A","BM_SC",2051,0
"Atlantis_00A","BM_SC",2052,0
"Atlantis_00A","BM_SC",2053,0
"Atlantis_00A","BM_SC",2054,0
"Atlantis_00A","BM_SC",2055,0
"Atlantis_00A","CONS_BM",2014,0.003161528944
"Atlantis_00A","CONS_BM",2015,0.002963528944
"Atlantis_00A","CONS_BM",2016,0.003154528944
"Atlantis_00A","CONS_BM",2017,0.003353528944
"Atlantis_00A","CONS_BM",2018,0.003326528944
"Atlantis_00A","CONS_BM",2019,0.002783528944
"Atlantis_00A","CONS_BM",2020,0.003127528944
"Atlantis_00A","CONS_BM",2021,0.002357528944
"Atlantis_00A","CONS_BM",2022,0.002454528944
"Atlantis_00A","CONS_BM",2023,0.002480517640992
"Atlantis_00A","CONS_BM",2024,0.00254219115372
"Atlantis_00A","CONS_BM",2025,0.00257119115372
"Atlantis_00A","CONS_BM",2026,0.00263919115372
"Atlantis_00A","CONS_BM",2027,0.00270719115372
"Atlantis_00A","CONS_BM",2028,0.00276808845812
"Atlantis_00A","CONS_BM",2029,0.00283708845812
"Atlantis_00A","CONS_BM",2030,0.00290508845812
"Atlantis_00A","CONS_BM",2031,0.00297408845812
"Atlantis_00A","CONS_BM",2032,0.00304208845812
"Atlantis_00A","CONS_BM",2033,0.00311008845812
"Atlantis_00A","CONS_BM",2034,0.00317808845812
"Atlantis_00A","CONS_BM",2035,0.00324608845812
"Atlantis_00A","CONS_BM",2036,0.003279
"Atlantis_00A","CONS_BM",2037,0.003347
"Atlantis_00A","CONS_BM",2038,0.00341600000000001
"Atlantis_00A","CONS_BM",2039,0.003483
"Atlantis_00A","CONS_BM",2040,0.003551
"Atlantis_00A","CONS_BM",2041,0.003619
"Atlantis_00A","CONS_BM",2042,0.003687
"Atlantis_00A","CONS_BM",2043,0.003756
"Atlantis_00A","CONS_BM",2044,0.003824
"Atlantis_00A","CONS_BM",2045,0.003893
"Atlantis_00A","CONS_BM",2046,0.00396
"Atlantis_00A","CONS_BM",2047,0.004029
"Atlantis_00A","CONS_BM",2048,0.004097
"Atlantis_00A","CONS_BM",2049,0.004165
"Atlantis_00A","CONS_BM",2050,0.004234
"Atlantis_00A","CONS_BM",2051,0.004303
"Atlantis_00A","CONS_BM",2052,0.004371
"Atlantis_00A","CONS_BM",2053,0.004439
"Atlantis_00A","CONS_BM",2054,0.004508
"Atlantis_00A","CONS_BM",2055,0.004576
"Atlantis_00A","CONS_DS",2014,0.00599
"Atlantis_00A","CONS_DS",2015,0.006073
"Atlantis_00A","CONS_DS",2016,0.006212
"Atlantis_00A","CONS_DS",2017,0.006772
"Atlantis_00A","CONS_DS",2018,0.006955
"Atlantis_00A","CONS_DS",2019,0.006954
"Atlantis_00A","CONS_DS",2020,0.006058
"Atlantis_00A","CONS_DS",2021,0.007182
"Atlantis_00A","CONS_DS",2022,0.007486
"Atlantis_00A","CONS_DS",2023,0.007794
"Atlantis_00A","CONS_DS",2024,0.008133
"Atlantis_00A","CONS_DS",2025,0.008514
"Atlantis_00A","CONS_DS",2026,0.008173
"Atlantis_00A","CONS_DS",2027,0.007833
"Atlantis_00A","CONS_DS",2028,0.007492
"Atlantis_00A","CONS_DS",2029,0.007151
"Atlantis_00A","CONS_DS",2030,0.006811
