r,t,y,DiscountedTechnologyEmissionsPenalty
"Atlantis_00A","BM_SC",2037,0
"Atlantis_00A","BM_SC",2038,0
"Atlantis_00A","BM_SC",2039,0
"Atlantis_00A","BM_SC",2040,0
"Atlantis_00A","BM_SC",2041,0
"Atlantis_00A","BM_SC",2042,0
"Atlantis_00A","BM_SC",2043,0
"Atlantis_00A","BM_SC",2044,0
"Atlantis_00A","BM_SC",2045,0
"Atlantis_00A","BM_SC",2046,0
"Atlantis_00A","BM_SC",2047,0
"Atlantis_00A","BM_SC",2048,0
"Atlantis_00A","BM_SC",2049,0
"Atlantis_00A","BM_SC",2050,0
"Atlantis_00A","BM_SC",2051,0
"Atlantis_00A","BM_SC",2052,0
"Atlantis_00A","BM_SC",2053,0
"Atlantis_00A","BM_SC",2054,0
"Atlantis_00A","BM_SC",2055,0
"Atlantis_00A","CONS_BM",2014,0
"Atlantis_00A","CONS_BM",2015,0
"Atlantis_00A","CONS_BM",2016,0
"Atlantis_00A","CONS_BM",2017,0
"Atlantis_00A","CONS_BM",2018,0
"Atlantis_00A","CONS_BM",2019,0
"Atlantis_00A","CONS_BM",2020,0
"Atlantis_00A","CONS_BM",2021,0
"Atlantis_00A","CONS_BM",2022,0
"Atlantis_00A","CONS_BM",2023,0
"Atlantis_00A","CONS_BM",2024,0
"Atlantis_00A","CONS_BM",2025,0
"Atlantis_00A","CONS_BM",2026,0
"Atlantis_00A","CONS_BM",2027,0
"Atlantis_00A","CONS_BM",2028,0
"Atlantis_00A","CONS_BM",2029,0
"Atlantis_00A","CONS_BM",2030,0
"Atlantis_00A","CONS_BM",2031,0
"Atlantis_00A","CONS_BM",2032,0
"Atlantis_00A","CONS_BM",2033,0
"Atlantis_00A","CONS_BM",2034,0
"Atlantis_00A","CONS_BM",2035,0
"Atlantis_00A","CONS_BM",2036,0
"Atlantis_00A","CONS_BM",2037,0
"Atlantis_00A","CONS_BM",2038,0
"Atlantis_00A","CONS_BM",2039,0
"Atlantis_00A","CONS_BM",2040,0
"Atlantis_00A","CONS_BM",2041,0
"Atlantis_00A","CONS_BM",2042,0
"Atlantis_00A","CONS_BM",2043,0
"Atlantis_00A","CONS_BM",2044,0
"Atlantis_00A","CONS_BM",2045,0
"Atlantis_00A","CONS_BM",2046,0
"Atlantis_00A","CONS_BM",2047,0
"Atlantis_00A","CONS_BM",2048,0
"Atlantis_00A","CONS_BM",2049,0
"Atlantis_00A","CONS_BM",2050,0
"Atlantis_00A","CONS_BM",2051,0
"Atlantis_00A","CONS_BM",2052,0
"Atlantis_00A","CONS_BM",2053,0
"Atlantis_00A","CONS_BM",2054,0
"Atlantis_00A","CONS_BM",2055,0
