r,t,m,y,TotalAnnualTechnologyActivityByMode
"Atlantis_00A","BM_RES",1,2052,0.29
"Atlantis_00A","BM_RES",1,2053,0.19
"Atlantis_00A","BM_RES",1,2054,0.1
"Atlantis_00A","BM_RES",1,2055,0
"Atlantis_00A","BM_SC",1,2014,2.057724
"Atlantis_00A","BM_SC",1,2015,2.057724
"Atlantis_00A","BM_SC",1,2016,2.057724
"Atlantis_00A","BM_SC",1,2017,2.057724
"Atlantis_00A","BM_SC",1,2018,2.057724
"Atlantis_00A","BM_SC",1,2019,2.057724
"Atlantis_00A","BM_SC",1,2020,2.057724
"Atlantis_00A","BM_SC",1,2021,2.057724
"Atlantis_00A","BM_SC",1,2022,2.057724
"Atlantis_00A","BM_SC",1,2023,1.751809032
"Atlantis_00A","BM_SC",1,2024,1.751809032
"Atlantis_00A","BM_SC",1,2025,1.751809032
"Atlantis_00A","BM_SC",1,2026,1.751809032
"Atlantis_00A","BM_SC",1,2027,1.751809032
"Atlantis_00A","BM_SC",1,2028,1.463727672
"Atlantis_00A","BM_SC",1,2029,1.463727672
"Atlantis_00A","BM_SC",1,2030,1.463727672
"Atlantis_00A","BM_SC",1,2031,1.463727672
"Atlantis_00A","BM_SC",1,2032,1.463727672
"Atlantis_00A","BM_SC",1,2033,1.463727672
"Atlantis_00A","BM_SC",1,2034,1.463727672
"Atlantis_00A","BM_SC",1,2035,1.463727672
"Atlantis_00A","BM_SC",1,2036,0
"Atlantis_00A","BM_SC",1,2037,0
"Atlantis_00A","BM_SC",1,2038,0
"Atlantis_00A","BM_SC",1,2039,0
"Atlantis_00A","BM_SC",1,2040,0
"Atlantis_00A","BM_SC",1,2041,0
"Atlantis_00A","BM_SC",1,2042,0
"Atlantis_00A","BM_SC",1,2043,0
"Atlantis_00A","BM_SC",1,2044,0
"Atlantis_00A","BM_SC",1,2045,0
"Atlantis_00A","BM_SC",1,2046,0
"Atlantis_00A","BM_SC",1,2047,0
"Atlantis_00A","BM_SC",1,2048,0
"Atlantis_00A","BM_SC",1,2049,0
"Atlantis_00A","BM_SC",1,2050,0
"Atlantis_00A","BM_SC",1,2051,0
"Atlantis_00A","BM_SC",1,2052,0
"Atlantis_00A","BM_SC",1,2053,0
"Atlantis_00A","BM_SC",1,2054,0
"Atlantis_00A","BM_SC",1,2055,0
"Atlantis_00A","CONS_BM",1,2014,31.48
"Atlantis_00A","CONS_BM",1,2015,29.5
"Atlantis_00A","CONS_BM",1,2016,31.41
"Atlantis_00A","CONS_BM",1,2017,33.4
"Atlantis_00A","CONS_BM",1,2018,33.13
"Atlantis_00A","CONS_BM",1,2019,27.7
"Atlantis_00A","CONS_BM",1,2020,31.14
"Atlantis_00A","CONS_BM",1,2021,23.44
"Atlantis_00A","CONS_BM",1,2022,24.41
"Atlantis_00A","CONS_BM",1,2023,24.69
"Atlantis_00A","CONS_BM",1,2024,24.99
"Atlantis_00A","CONS_BM",1,2025,25.28
"Atlantis_00A","CONS_BM",1,2026,25.96
"Atlantis_00A","CONS_BM",1,2027,26.64
"Atlantis_00A","CONS_BM",1,2028,27.32
"Atlantis_00A","CONS_BM",1,2029,28.01
"Atlantis_00A","CONS_BM",1,2030,28.69
"Atlantis_00A","CONS_BM",1,2031,29.38
"Atlantis_00A","CONS_BM",1,2032,30.06
"Atlantis_00A","CONS_BM",1,2033,30.74
"Atlantis_00A","CONS_BM",1,2034,31.42
"Atlantis_00A","CONS_BM",1,2035,32.1
"Atlantis_00A","CONS_BM",1,2036,32.79
"Atlantis_00A","CONS_BM",1,2037,33.47
"Atlantis_00A","CONS_BM",1,2038,34.1600000000001
"Atlantis_00A","CONS_BM",1,2039,34.83
"Atlantis_00A","CONS_BM",1,2040,35.51
"Atlantis_00A","CONS_BM",1,2041,36.19
"Atlantis_00A","CONS_BM",1,2042,36.87
"Atlantis_00A","CONS_BM",1,2043,37.56
"Atlantis_00A","CONS_BM",1,2044,38.24
"Atlantis_00A","CONS_BM",1,2045,38.93
"Atlantis_00A","CONS_BM",1,2046,39.6
"Atlantis_00A","CONS_BM",1,2047,40.29
"Atlantis_00A","CONS_BM",1,2048,40.97
"Atlantis_00A","CONS_BM",1,2049,41.65
"Atlantis_00A","CONS_BM",1,2050,42.34
"Atlantis_00A","CONS_BM",1,2051,43.03
"Atlantis_00A","CONS_BM",1,2052,43.71
"Atlantis_00A","CONS_BM",1,2053,44.39
"Atlantis_00A","CONS_BM",1,2054,45.08
"Atlantis_00A","CONS_BM",1,2055,45.76
"Atlantis_00A","CONS_DS",1,2014,59.9
"Atlantis_00A","CONS_DS",1,2015,60.73
"Atlantis_00A","CONS_DS",1,2016,62.12
"Atlantis_00A","CONS_DS",1,2017,67.72
"Atlantis_00A","CONS_DS",1,2018,69.55
"Atlantis_00A","CONS_DS",1,2019,69.54
"Atlantis_00A","CONS_DS",1,2020,60.58
"Atlantis_00A","CONS_DS",1,2021,71.82
"Atlantis_00A","CONS_DS",1,2022,74.86
"Atlantis_00A","CONS_DS",1,2023,77.94
"Atlantis_00A","CONS_DS",1,2024,81.3299999999999
"Atlantis_00A","CONS_DS",1,2025,85.14
"Atlantis_00A","CONS_DS",1,2026,81.73
"Atlantis_00A","CONS_DS",1,2027,78.33
"Atlantis_00A","CONS_DS",1,2028,74.92
"Atlantis_00A","CONS_DS",1,2029,71.51
"Atlantis_00A","CONS_DS",1,2030,68.11
"Atlantis_00A","CONS_DS",1,2031,64.71
"Atlantis_00A","CONS_DS",1,2032,61.3
"Atlantis_00A","CONS_DS",1,2033,57.89
"Atlantis_00A","CONS_DS",1,2034,54.49
"Atlantis_00A","CONS_DS",1,2035,51.09
"Atlantis_00A","CONS_DS",1,2036,47.68
"Atlantis_00A","CONS_DS",1,2037,44.27
"Atlantis_00A","CONS_DS",1,2038,40.86
"Atlantis_00A","CONS_DS",1,2039,37.46
"Atlantis_00A","CONS_DS",1,2040,34.06
"Atlantis_00A","CONS_DS",1,2041,30.65
