r,t,y,TotalCapacityAnnual
"Atlantis_00A","BM_SC",2017,0.15
"Atlantis_00A","BM_SC",2018,0.15
"Atlantis_00A","BM_SC",2019,0.15
"Atlantis_00A","BM_SC",2020,0.15
"Atlantis_00A","BM_SC",2021,0.15
"Atlantis_00A","BM_SC",2022,0.15
"Atlantis_00A","BM_SC",2023,0.1277
"Atlantis_00A","BM_SC",2024,0.1277
"Atlantis_00A","BM_SC",2025,0.1277
"Atlantis_00A","BM_SC",2026,0.1277
"Atlantis_00A","BM_SC",2027,0.1277
"Atlantis_00A","BM_SC",2028,0.1067
"Atlantis_00A","BM_SC",2029,0.1067
"Atlantis_00A","BM_SC",2030,0.1067
"Atlantis_00A","BM_SC",2031,0.1067
"Atlantis_00A","BM_SC",2032,0.1067
"Atlantis_00A","BM_SC",2033,0.1067
"Atlantis_00A","BM_SC",2034,0.1067
"Atlantis_00A","BM_SC",2035,0.1067
"Atlantis_00A","BM_SC",2036,0
"Atlantis_00A","BM_SC",2037,0
"Atlantis_00A","BM_SC",2038,0
"Atlantis_00A","BM_SC",2039,0
"Atlantis_00A","BM_SC",2040,0
"Atlantis_00A","BM_SC",2041,0
"Atlantis_00A","BM_SC",2042,0
"Atlantis_00A","BM_SC",2043,0
"Atlantis_00A","BM_SC",2044,0
"Atlantis_00A","BM_SC",2045,0
"Atlantis_00A","BM_SC",2046,0
"Atlantis_00A","BM_SC",2047,0
"Atlantis_00A","BM_SC",2048,0
"Atlantis_00A","BM_SC",2049,0
"Atlantis_00A","BM_SC",2050,0
"Atlantis_00A","BM_SC",2051,0
"Atlantis_00A","BM_SC",2052,0
"Atlantis_00A","BM_SC",2053,0
"Atlantis_00A","BM_SC",2054,0
"Atlantis_00A","BM_SC",2055,0
"Atlantis_00A","CONS_BM",2014,31.61528944
"Atlantis_00A","CONS_BM",2015,29.63528944
"Atlantis_00A","CONS_BM",2016,31.54528944
"Atlantis_00A","CONS_BM",2017,33.53528944
"Atlantis_00A","CONS_BM",2018,33.26528944
"Atlantis_00A","CONS_BM",2019,27.83528944
"Atlantis_00A","CONS_BM",2020,31.27528944
"Atlantis_00A","CONS_BM",2021,23.57528944
"Atlantis_00A","CONS_BM",2022,24.54528944
"Atlantis_00A","CONS_BM",2023,24.80517640992
"Atlantis_00A","CONS_BM",2024,25.4219115372
"Atlantis_00A","CONS_BM",2025,25.7119115372
"Atlantis_00A","CONS_BM",2026,26.3919115372
"Atlantis_00A","CONS_BM",2027,27.0719115372
"Atlantis_00A","CONS_BM",2028,27.6808845812
"Atlantis_00A","CONS_BM",2029,28.3708845812
"Atlantis_00A","CONS_BM",2030,29.0508845812
"Atlantis_00A","CONS_BM",2031,29.7408845812
"Atlantis_00A","CONS_BM",2032,30.4208845812
"Atlantis_00A","CONS_BM",2033,31.1008845812
"Atlantis_00A","CONS_BM",2034,31.7808845812
"Atlantis_00A","CONS_BM",2035,32.4608845812
"Atlantis_00A","CONS_BM",2036,32.79
"Atlantis_00A","CONS_BM",2037,33.47
"Atlantis_00A","CONS_BM",2038,34.1600000000001
"Atlantis_00A","CONS_BM",2039,34.83
"Atlantis_00A","CONS_BM",2040,35.51
"Atlantis_00A","CONS_BM",2041,36.19
"Atlantis_00A","CONS_BM",2042,36.87
"Atlantis_00A","CONS_BM",2043,37.56
"Atlantis_00A","CONS_BM",2044,38.24
"Atlantis_00A","CONS_BM",2045,38.93
"Atlantis_00A","CONS_BM",2046,39.6
"Atlantis_00A","CONS_BM",2047,40.29
"Atlantis_00A","CONS_BM",2048,40.97
"Atlantis_00A","CONS_BM",2049,41.65
"Atlantis_00A","CONS_BM",2050,42.34
"Atlantis_00A","CONS_BM",2051,43.03
"Atlantis_00A","CONS_BM",2052,43.71
"Atlantis_00A","CONS_BM",2053,44.39
"Atlantis_00A","CONS_BM",2054,45.08
