r,t,y,NewCapacity
"Atlantis_00A","BM_SC",2019,0
"Atlantis_00A","BM_SC",2020,0
"Atlantis_00A","BM_SC",2021,0
"Atlantis_00A","BM_SC",2022,0
"Atlantis_00A","BM_SC",2023,0
"Atlantis_00A","BM_SC",2024,0
"Atlantis_00A","BM_SC",2025,0
"Atlantis_00A","BM_SC",2026,0
"Atlantis_00A","BM_SC",2027,0
"Atlantis_00A","BM_SC",2028,0
"Atlantis_00A","BM_SC",2029,0
"Atlantis_00A","BM_SC",2030,0
"Atlantis_00A","BM_SC",2031,0
"Atlantis_00A","BM_SC",2032,0
"Atlantis_00A","BM_SC",2033,0
"Atlantis_00A","BM_SC",2034,0
"Atlantis_00A","BM_SC",2035,0
"Atlantis_00A","BM_SC",2036,0
"Atlantis_00A","BM_SC",2037,0
"Atlantis_00A","BM_SC",2038,0
"Atlantis_00A","BM_SC",2039,0
"Atlantis_00A","BM_SC",2040,0
"Atlantis_00A","BM_SC",2041,0
"Atlantis_00A","BM_SC",2042,0
"Atlantis_00A","BM_SC",2043,0
"Atlantis_00A","BM_SC",2044,0
"Atlantis_00A","BM_SC",2045,0
"Atlantis_00A","BM_SC",2046,0
"Atlantis_00A","BM_SC",2047,0
"Atlantis_00A","BM_SC",2048,0
"Atlantis_00A","BM_SC",2049,0
"Atlantis_00A","BM_SC",2050,0
"Atlantis_00A","BM_SC",2051,0
"Atlantis_00A","BM_SC",2052,0
"Atlantis_00A","BM_SC",2053,0
"Atlantis_00A","BM_SC",2054,0
"Atlantis_00A","BM_SC",2055,0
"Atlantis_00A","CONS_BM",2014,31.61528944
"Atlantis_00A","CONS_BM",2015,29.63528944
"Atlantis_00A","CONS_BM",2016,31.54528944
"Atlantis_00A","CONS_BM",2017,33.53528944
"Atlantis_00A","CONS_BM",2018,33.26528944
"Atlantis_00A","CONS_BM",2019,27.83528944
"Atlantis_00A","CONS_BM",2020,31.27528944
"Atlantis_00A","CONS_BM",2021,23.57528944
"Atlantis_00A","CONS_BM",2022,24.54528944
"Atlantis_00A","CONS_BM",2023,24.80517640992
"Atlantis_00A","CONS_BM",2024,25.4219115372
"Atlantis_00A","CONS_BM",2025,25.7119115372
"Atlantis_00A","CONS_BM",2026,26.0019115372
"Atlantis_00A","CONS_BM",2027,26.3019115372
"Atlantis_00A","CONS_BM",2028,26.5408845812
