r,l,t,m,y,RateOfActivity
"Atlantis_00A","ID","BM_RES",1,2037,3.23
"Atlantis_00A","ID","BM_RES",1,2038,3.24
"Atlantis_00A","ID","BM_RES",1,2039,3.25
"Atlantis_00A","ID","BM_RES",1,2040,3.27
"Atlantis_00A","ID","BM_RES",1,2041,3.25
"Atlantis_00A","ID","BM_RES",1,2042,3.23
"Atlantis_00A","ID","BM_RES",1,2043,3.21
"Atlantis_00A","ID","BM_RES",1,2044,3.19
"Atlantis_00A","ID","BM_RES",1,2045,3.17
"Atlantis_00A","ID","BM_RES",1,2046,3.15
"Atlantis_00A","ID","BM_RES",1,2047,3.13
"Atlantis_00A","ID","BM_RES",1,2048,3.12
"Atlantis_00A","ID","BM_RES",1,2049,3.1
"Atlantis_00A","ID","BM_RES",1,2050,3.07
"Atlantis_00A","ID","BM_RES",1,2051,3.06
"Atlantis_00A","ID","BM_RES",1,2052,3.04
"Atlantis_00A","ID","BM_RES",1,2053,3.02
"Atlantis_00A","ID","BM_RES",1,2054,3
"Atlantis_00A","ID","BM_RES",1,2055,2.98
"Atlantis_00A","ID","BM_SC",1,2014,2.3652
"Atlantis_00A","ID","BM_SC",1,2015,2.3652
"Atlantis_00A","ID","BM_SC",1,2016,2.3652
"Atlantis_00A","ID","BM_SC",1,2017,2.3652
"Atlantis_00A","ID","BM_SC",1,2018,2.3652
"Atlantis_00A","ID","BM_SC",1,2019,2.3652
"Atlantis_00A","ID","BM_SC",1,2020,2.3652
"Atlantis_00A","ID","BM_SC",1,2021,2.3652
"Atlantis_00A","ID","BM_SC",1,2022,2.3652
"Atlantis_00A","ID","BM_SC",1,2023,2.0135736
"Atlantis_00A","ID","BM_SC",1,2024,2.01357360000002
"Atlantis_00A","ID","BM_SC",1,2025,2.01357359999998
"Atlantis_00A","ID","BM_SC",1,2026,2.0135736
"Atlantis_00A","ID","BM_SC",1,2027,2.0135736
"Atlantis_00A","ID","BM_SC",1,2028,1.6824456
"Atlantis_00A","ID","BM_SC",1,2029,1.312307568
"Atlantis_00A","ID","BM_SC",1,2030,1.312307568
"Atlantis_00A","ID","BM_SC",1,2031,1.312307568
"Atlantis_00A","ID","BM_SC",1,2032,1.312307568
"Atlantis_00A","ID","BM_SC",1,2033,1.6824456
"Atlantis_00A","ID","BM_SC",1,2034,1.6824456
"Atlantis_00A","ID","BM_SC",1,2035,1.6824456
"Atlantis_00A","ID","BM_SC",1,2036,0
"Atlantis_00A","ID","BM_SC",1,2037,0
"Atlantis_00A","ID","BM_SC",1,2038,0
"Atlantis_00A","ID","BM_SC",1,2039,0
"Atlantis_00A","ID","BM_SC",1,2040,0
"Atlantis_00A","ID","BM_SC",1,2041,0
"Atlantis_00A","ID","BM_SC",1,2042,0
"Atlantis_00A","ID","BM_SC",1,2043,0
"Atlantis_00A","ID","BM_SC",1,2044,0
"Atlantis_00A","ID","BM_SC",1,2045,0
"Atlantis_00A","ID","BM_SC",1,2046,0
