r,t,y,CapitalInvestment
"Atlantis_00A","BM_RES",2024,0.000326857142857144
"Atlantis_00A","BM_RES",2025,0.000333714285714285
"Atlantis_00A","BM_RES",2026,0.000339428571428571
"Atlantis_00A","BM_RES",2027,0.00034619115372
"Atlantis_00A","BM_RES",2028,0.000346088458119999
"Atlantis_00A","BM_RES",2029,0.00035208845812
"Atlantis_00A","BM_RES",2030,0.00035508845812
"Atlantis_00A","BM_RES",2031,0.000319
"Atlantis_00A","BM_RES",2032,0.000356088458119999
"Atlantis_00A","BM_RES",2033,0.000356088458120001
"Atlantis_00A","BM_RES",2034,0.00035608845812
"Atlantis_00A","BM_RES",2035,0.00035708845812
"Atlantis_00A","BM_RES",2036,0.000322
"Atlantis_00A","BM_RES",2037,0.000323
"Atlantis_00A","BM_RES",2038,0.000324
"Atlantis_00A","BM_RES",2039,0.000325
"Atlantis_00A","BM_RES",2040,0.000327
"Atlantis_00A","BM_RES",2041,0.000325
"Atlantis_00A","BM_RES",2042,0.000323
"Atlantis_00A","BM_RES",2043,0.000321
"Atlantis_00A","BM_RES",2044,0.000319
"Atlantis_00A","BM_RES",2045,0.000317
"Atlantis_00A","BM_RES",2046,0.000315
"Atlantis_00A","BM_RES",2047,0.000313
"Atlantis_00A","BM_RES",2048,0.000312
"Atlantis_00A","BM_RES",2049,0.00031
"Atlantis_00A","BM_RES",2050,0.000307
"Atlantis_00A","BM_RES",2051,0.000306
"Atlantis_00A","BM_RES",2052,0.000304
"Atlantis_00A","BM_RES",2053,0.000302
"Atlantis_00A","BM_RES",2054,0.0003
"Atlantis_00A","BM_RES",2055,0.000298
"Atlantis_00A","BM_SC",2014,0
"Atlantis_00A","BM_SC",2015,0
"Atlantis_00A","BM_SC",2016,0
"Atlantis_00A","BM_SC",2017,0
"Atlantis_00A","BM_SC",2018,0
"Atlantis_00A","BM_SC",2019,0
"Atlantis_00A","BM_SC",2020,0
"Atlantis_00A","BM_SC",2021,0
"Atlantis_00A","BM_SC",2022,0
"Atlantis_00A","BM_SC",2023,0
"Atlantis_00A","BM_SC",2024,0
"Atlantis_00A","BM_SC",2025,0
"Atlantis_00A","BM_SC",2026,0
"Atlantis_00A","BM_SC",2027,0
"Atlantis_00A","BM_SC",2028,0
"Atlantis_00A","BM_SC",2029,0
"Atlantis_00A","BM_SC",2030,0
"Atlantis_00A","BM_SC",2031,0
"Atlantis_00A","BM_SC",2032,0
"Atlantis_00A","BM_SC",2033,0
"Atlantis_00A","BM_SC",2034,0
"Atlantis_00A","BM_SC",2035,0
"Atlantis_00A","BM_SC",2036,0
"Atlantis_00A","BM_SC",2037,0
"Atlantis_00A","BM_SC",2038,0
"Atlantis_00A","BM_SC",2039,0
"Atlantis_00A","BM_SC",2040,0
"Atlantis_00A","BM_SC",2041,0
"Atlantis_00A","BM_SC",2042,0
"Atlantis_00A","BM_SC",2043,0
"Atlantis_00A","BM_SC",2044,0
"Atlantis_00A","BM_SC",2045,0
"Atlantis_00A","BM_SC",2046,0
"Atlantis_00A","BM_SC",2047,0
"Atlantis_00A","BM_SC",2048,0
"Atlantis_00A","BM_SC",2049,0
"Atlantis_00A","BM_SC",2050,0
"Atlantis_00A","BM_SC",2051,0
"Atlantis_00A","BM_SC",2052,0
"Atlantis_00A","BM_SC",2053,0
"Atlantis_00A","BM_SC",2054,0
"Atlantis_00A","BM_SC",2055,0
"Atlantis_00A","CONS_BM",2014,0.003161528944
"Atlantis_00A","CONS_BM",2015,0.002963528944
"Atlantis_00A","CONS_BM",2016,0.003154528944
"Atlantis_00A","CONS_BM",2017,0.003353528944
"Atlantis_00A","CONS_BM",2018,0.003326528944
"Atlantis_00A","CONS_BM",2019,0.002783528944
"Atlantis_00A","CONS_BM",2020,0.003127528944
"Atlantis_00A","CONS_BM",2021,0.002357528944
"Atlantis_00A","CONS_BM",2022,0.002454528944
"Atlantis_00A","CONS_BM",2023,0.002480517640992
"Atlantis_00A","CONS_BM",2024,0.00254219115372
"Atlantis_00A","CONS_BM",2025,0.00257119115372
"Atlantis_00A","CONS_BM",2026,0.00260019115372
"Atlantis_00A","CONS_BM",2027,0.00263019115372
"Atlantis_00A","CONS_BM",2028,0.00265408845812
"Atlantis_00A","CONS_BM",2029,0.00268508845812
"Atlantis_00A","CONS_BM",2030,0.00270608845812
"Atlantis_00A","CONS_BM",2031,0.00270608845812
"Atlantis_00A","CONS_BM",2032,0.00270708845812
"Atlantis_00A","CONS_BM",2033,0.00270708845812
"Atlantis_00A","CONS_BM",2034,0.00270708845812
